,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,FUELCOST_NoC_MWh,CARBONCOST_MWh,CostTotal_MWh,OMCOST,CAPCOST,FUELCOST,FUELCOST_NoC,CARBONCOST,CostTotal,Value_diff,CostTotal_MWh_diff,CostTotal_diff,OMCOST_MWh_diff,OMCOST_diff,CAPCOST_MWh_diff,CAPCOST_diff,FUELCOST_MWh_diff,FUELCOST_diff,CARBONCOST_MWh_diff,CARBONCOST_diff
42,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Fossils,EJ/yr,2080,42.939049581999996,2.0746935127,69.45398500729999,28.47132148,4.1681870343,38.1373084465,32.5825481301,32.5825481301,0.0,74.8880436109,52596.5521826235,481238.22594887397,411145.104302288,411145.104302288,0.0,944979.882433785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Fossils,EJ/yr,2090,51.26802838,2.4219736738999997,65.6694722372,31.908554088899997,5.4567214132,48.579097255,35.236027416999995,35.2335050203,0.0025223967000000003,89.27184608520001,81852.91200999799,728705.0725250171,528553.912387011,528516.07546972,37.836917291199995,1339111.89692203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Fossils,EJ/yr,2100,62.79241599,2.6574367025,62.259498343400004,35.083064954099996,6.2619974017999995,55.963099981099994,37.0358881106,37.0346530899,0.0012350208,99.2609854935,114658.595005408,1024697.0741593001,678135.524992416,678112.911481423,22.6135109929,1817491.19415712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Renewables,EJ/yr,2020,1.1317140276,4.6728595776,0.0,95.32714042239999,10.072288929800001,93.48403833340001,0.0,#WERT!,0.0,103.5563272632,2795.5450977124,25946.321327591202,0.0,#WERT!,0.0,28741.8664253036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Renewables,EJ/yr,2030,1.730213201,4.5782213223,0.0,95.4217786777,8.6135453238,89.18906907680001,0.0,#WERT!,0.0,97.80261440059999,4113.798747176,42596.3835840193,0.0,#WERT!,0.0,46710.182331195305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Renewables,EJ/yr,2040,2.9581787124,3.7307979045999997,0.0,96.2692020954,7.3973696766999995,91.8507977365,0.0,#WERT!,0.0,99.2481674132,5911.587425696801,73402.30983021231,0.0,#WERT!,0.0,79313.8972559091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Renewables,EJ/yr,2050,6.0801217455,3.6030076263999997,0.0,96.3969923736,5.8578115914,87.9828762067,0.0,#WERT!,0.0,93.84068779809999,9732.237270491,146175.788282969,0.0,#WERT!,0.0,155908.02555346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Renewables,EJ/yr,2060,10.465360268200001,3.2906380624000002,0.0,96.70936193760001,5.3562261829,91.5359327819,0.0,#WERT!,0.0,96.89215896479999,15616.8682155285,266886.526151982,0.0,#WERT!,0.0,282503.39436751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Renewables,EJ/yr,2070,17.9281750268,3.3370691995999997,0.0,96.6629308004,5.2837577298000005,97.3130032876,0.0,#WERT!,0.0,102.5967610174,26449.084593558502,487122.988528146,0.0,#WERT!,0.0,513572.073121705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Renewables,EJ/yr,2080,24.8919515325,2.8675764938,0.0,97.13242350620001,5.182596076,106.54269780790001,0.0,#WERT!,0.0,111.7252938839,35716.9093591154,734260.556802006,0.0,#WERT!,0.0,769977.4661611209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Renewables,EJ/yr,2090,34.090500306799996,2.6411260353,0.0,97.3588739647,5.1359220112,116.2555542883,0.0,#WERT!,0.0,121.39147629950001,48429.9562196277,1096249.39633919,0.0,#WERT!,0.0,1144679.35255882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,MESSAGEix-GLOBIOM_1.0,NPi_v3,Middle East + Africa,Renewables,EJ/yr,2100,45.295869066899996,2.3864998075,0.0,97.6135001925,4.9796233188,125.9796301441,0.0,#WERT!,0.0,130.95925346290002,62159.64808682731,1572578.68206567,0.0,#WERT!,0.0,1634738.3301525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Fossils,EJ/yr,2020,2.8582165074,1.8127972009,76.9237813123,21.263421486800002,2.5657341629,19.6018824174,16.1256435643,16.1256435643,0.0,38.2932601446,2036.8036531997,15560.9206495947,12801.314413751299,12801.3144137513,0.0,30399.0387165457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Fossils,EJ/yr,2030,3.8907327323,1.8943010228000001,72.99235410600001,25.1133448712,2.3273114828,19.7138014556,17.9790312191,17.9778327735,0.0011984457,40.0201441575,2716.1471454433,23007.485652860298,20982.8786070654,20981.4799310541,1.3986760112999999,46706.511405369005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Fossils,EJ/yr,2040,4.833075114200001,1.7192224862,73.77479164409999,24.5059858698,2.4674793536,21.7625091771,22.0717212244,22.0717212244,0.0,46.3017097551,3531.7330956811998,31148.943068124303,31591.5220178883,31591.5220178883,0.0,66272.1981816938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Fossils,EJ/yr,2050,6.198829912000001,1.5249487975999998,77.1558984869,21.3191527155,2.6659256598,24.5303176926,24.081117397699998,24.0811173977,0.0,51.2773607501,4690.2492263868,43156.9811995148,42366.688594042,42366.688594042,0.0,90213.9190199436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Fossils,EJ/yr,2060,10.1173601123,1.4490678763,77.7336685815,20.8172635422,2.7905728423,26.5216745821,27.389262021900002,27.3818619187,0.0074001032999999996,56.7015094463,8043.5183771366,76445.8012573398,78946.52634525081,78925.196363954,21.3299812968,163435.845979727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,MESSAGEix-GLOBIOM_1.0,NPi_v3,Latin America,Fossils,EJ/yr,2070,10.14842563,1.808834803,67.982155998,30.209009199,3.1334128566,31.1356415328,34.851529650100005,34.8501197101,0.00140994,69.1205840395,9187.6962706562,91294.9651666158,102190.577382411,102186.443200076,4.1341823354,202673.238819683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
